vehicle,component,temperature_C,br_kG,br_T,hci_kOe,hci_kAm,source_figure,basis
2010 Prius,motor,114,12.20,1.220,14.36,1142.7,2.68,stated in text
2010 Prius,motor,215,10.51,1.051,5.45,433.7,2.69,stated in text
