v_ll_V,torque_Nm,speed_rpm,p_mech_W,p_elec_W,efficiency,i_a_A,pf,t_winding_C,t_oil_C
85,0,900,0,130,,1.2,,59.8,57.3
85,10,900,942,1060,0.89,7.9,0.91,66,63.2
90,20,900,1885,2050,0.92,14,0.94,68.5,65.3
100,30,900,2827,3040,0.93,19.4,0.91,71.8,67.7
105,40,900,3770,4040,0.93,24.5,0.91,76,70.8
115,50,900,4712,5050,0.93,29,0.88,79.9,73.3
120,60,900,5655,6060,0.93,33.6,0.87,84.7,76.4
130,70,900,6597,7090,0.93,37.9,0.83,89.6,79.3
130,80,900,7540,8130,0.93,42.5,0.85,96.3,84.1
135,90,900,8482,9180,0.92,46.5,0.85,103.6,89
140,100,900,9425,10230,0.92,50.8,0.83,110.6,93.4
150,110,900,10367,11330,0.92,55.5,0.79,118.8,97.8
150,120,900,11310,12430,0.91,60,0.80,131.9,106.6
150,130,900,12252,13560,0.90,64.5,0.81,140.7,111.6
155,140,900,13195,14770,0.89,69.1,0.80,145.9,114.1
