v_ll_V,torque_Nm,speed_rpm,p_mech_W,p_elec_W,efficiency,i_a_A,pf,t_winding_C,t_oil_C
80,0,900,0,140,,1.5,,51,50.5
85,10,900,942,1090,0.86,7.8,0.95,51.8,51.2
90,20,900,1885,2060,0.92,13.9,0.95,54.2,53
100,30,900,2827,3070,0.92,19.4,0.91,57.2,55.3
105,40,900,3770,4070,0.93,24.3,0.92,60.7,57.7
115,50,900,4712,5070,0.93,29.0,0.88,64.8,60.3
120,60,900,5655,6090,0.93,33.4,0.88,68.6,62.5
130,70,900,6597,7110,0.93,37.5,0.84,71.1,63
130,80,900,7540,8140,0.93,42.3,0.86,79.4,69.8
135,90,900,8482,9190,0.92,46.4,0.85,85.5,73.7
140,100,900,9425,10220,0.92,50.6,0.83,90.2,75.4
140,100,900,9425,10220,0.92,50.6,0.83,90.2,75.4
150,110,900,10367,11310,0.92,55.1,0.79,104,86.3
150,120,900,11310,12400,0.91,59.3,0.81,111.7,90.4
150,130,900,12252,13500,0.91,63.8,0.82,119.9,94.5
155,140,900,13195,14720,0.90,68.1,0.81,135,103.6
160,150,900,14137,15800,0.89,72.9,0.78,144.1,107.7
165,160,900,15080,17040,0.88,78.0,0.77,160.7,120.3
